"incubation_time_days","alpha","FL_ppm","deltaH_ppm","F0_ppm","Ft_ppm","growth_rate_day","growth_rate_year","TG_days","TG_years","growth_rate_error_day","growth_rate_error_year","TG_error_days","TG_error_years","growth_rate_SNR","Detection_Limit"
1,0.76,1e+05,156,95,251,0.00205731540247019,0.750920121901618,336.918286679667,0.923063799122376,0.000271485229974491,0.0990921089406893,44.4600465402711,0.121808346685674,7.57800121451724,"Above"
1,0.76,1e+05,1555,95,1650,0.0206988854785144,7.55509319965776,33.4871740451648,0.0917456823155199,0.00275546000939383,1.00574290342875,4.45785204255766,0.0122132932672813,7.5119527802793,"Above"
2,0.56,3700,1.56,95,96.56,0.000394692919059342,0.14406291545666,1756.16826927602,4.81141991582471,0.00019388769679639,0.0707690093306824,862.694526489937,2.36354664791764,2.03567800113602,"Above"
2,0.56,3700,15.6,95,110.6,0.00396102010619845,1.44577233876243,174.992088395428,0.479430379165555,0.00077385101582651,0.282455620776676,34.187608680525,0.0936646813165067,5.11858229192591,"Above"
2,0.56,3700,156,95,251,0.0410973717215045,15.0005406783491,16.8659734558464,0.0462081464543736,0.00810985128315244,2.96009571835064,3.32820642155418,0.00911837375768269,5.0675863572099,"Above"
2,0.56,3700,1555,95,1650,0.772165254567303,281.840317917065,0.897666887314638,0.0024593613351086,0.348740014378585,127.290105248183,0.405421457826034,0.00111074372007133,2.21415731700078,"Above"
2,0.56,10000,1.56,95,96.56,0.00014170945296909,0.0517239503337179,4891.32634441215,13.4008940942799,6.9215695468015e-05,0.0252637288458255,2389.08941920309,6.5454504635701,2.04736009673666,"Above"
2,0.56,10000,15.6,95,110.6,0.0014189051216179,0.517900369390535,488.508477416436,1.33837939018202,0.000266399121224047,0.0972356792467772,91.7173580611547,0.25128043304426,5.32623799620036,"Above"
2,0.56,10000,156,95,251,0.0143735713127651,5.24635352915926,48.2237271084024,0.132119800296993,0.00265384507540702,0.968653452523562,8.9037232236604,0.0243937622566038,5.4161305216962,"Above"
2,0.56,10000,1555,95,1650,0.165970595630806,60.5792674052443,4.17632519739712,0.0114419868421839,0.0358118630002564,13.0713299950936,0.901135440559592,0.00246886422071121,4.63451442416213,"Above"
2,0.56,1e+05,1.56,95,96.56,1.39524350764224e-05,0.00509263880289416,49679.2980410471,136.107665865882,6.79893234070262e-06,0.00248161030435645,24208.4040717348,66.3243947170818,2.05215089329459,"Above"
2,0.56,1e+05,15.6,95,110.6,0.000139541874201678,0.0509327840836125,4967.30593970774,13.6090573690623,2.57532178186423e-05,0.00939992450380443,916.743540739907,2.51162613901344,5.41842480362459,"Above"
2,0.56,1e+05,156,95,251,0.00139717431985403,0.50996862674672,496.106441916541,1.35919573127819,0.000250352929686717,0.0913788193356518,88.8949212745589,0.24354772951934,5.58081873298788,"Above"
2,0.56,1e+05,1555,95,1650,0.0141046040160565,5.14818046586062,49.1433279353944,0.134639254617519,0.00255892980002765,0.934009377010094,8.91583529628022,0.0244269460172061,5.51191518262989,"Above"
2,0.76,3700,1.56,95,96.56,0.000287163786968771,0.104814782243602,2413.76946542122,6.6130670285513,0.000136151798371992,0.0496954064057771,1144.430699433,3.13542657378905,2.10914428162151,"Above"
2,0.76,3700,15.6,95,110.6,0.002879086649842,1.05086662719233,240.75245550459,0.659595768505727,0.000422094079182709,0.154064338901689,35.2959804189162,0.0967013162162087,6.82095957237,"Above"
2,0.76,3700,156,95,251,0.0295652616134112,10.7913204888951,23.4446489810705,0.0642319150166316,0.00423631945072216,1.54625659951359,3.35931485378131,0.00920360233912687,6.97899720673125,"Above"
2,0.76,3700,1555,95,1650,0.424692836007246,155.012885142645,1.63211413471575,0.00447154557456371,0.0930210993626489,33.9527012673668,0.357484370407387,0.000979409233992841,4.56555382506879,"Above"
2,0.76,10000,1.56,95,96.56,0.000103941515948267,0.0379386533211176,6668.62681611197,18.2702104551013,4.91190807096762e-05,0.0179284644590318,3151.35695121421,8.63385466086086,2.11611281087741,"Above"
2,0.76,10000,15.6,95,110.6,0.00104038878704889,0.379741907272844,666.238611169667,1.82531126347854,0.000146943345573184,0.0536343211342121,94.0987943103448,0.257804915918753,7.08020348244168,"Above"
2,0.76,10000,156,95,251,0.0105026077693456,3.83345183581113,65.9976260927373,0.180815413952705,0.001419093017958,0.517968951554671,8.9174776823873,0.0244314457051707,7.40092977446836,"Above"
2,0.76,10000,1555,95,1650,0.116089122763943,42.3725298088394,5.97081935031412,0.0163584091789428,0.0174616555491019,6.3735042754222,0.898106457855674,0.00246056563796075,6.64823117358503,"Above"
2,0.76,1e+05,1.56,95,96.56,1.02761084960064e-05,0.00375077960104233,67452.3026717093,184.80082923756,4.85065715853095e-06,0.0017704898628638,31839.6788960606,87.2319969755084,2.11849820759514,"Above"
2,0.76,1e+05,15.6,95,110.6,0.000102770590054218,0.0375112653697895,6744.6064111753,18.4783737292474,1.43200125795194e-05,0.00522680459152458,939.790737807229,2.57476914467734,7.1767108781176,"Above"
2,0.76,1e+05,156,95,251,0.00102865770123509,0.375460060950809,673.836573359334,1.84612759824475,0.000135742614987246,0.0495460544703447,88.9200930805422,0.243616693371348,7.57800121451724,"Above"
2,0.76,1e+05,1555,95,1650,0.0103494427392572,3.77754659982888,66.9743480903295,0.18349136463104,0.00137773000469691,0.502871451714374,8.91570408511531,0.0244265865345625,7.5119527802793,"Above"
3,0.56,3700,1.56,95,96.56,0.000263128612706228,0.0960419436377733,2634.25240391403,7.21712987373707,0.000129258464530927,0.0471793395537882,1294.04178973491,3.54531997187645,2.03567800113602,"Above"
3,0.56,3700,15.6,95,110.6,0.00264068007079897,0.963848225841623,262.488132593141,0.719145568748333,0.000515900677217673,0.188303747184451,51.2814130207874,0.14049702197476,5.11858229192591,"Above"
3,0.56,3700,156,95,251,0.0273982478143363,10.0003604522328,25.2989601837695,0.0693122196815604,0.00540656752210163,1.97339714556709,4.99230963233128,0.013677560636524,5.0675863572099,"Above"
3,0.56,3700,1555,95,1650,0.514776836378202,187.893545278044,1.34650033097196,0.00368904200266289,0.232493342919057,84.8600701654556,0.60813218673905,0.00166611558010699,2.21415731700079,"Above"
3,0.56,10000,1.56,95,96.56,9.447296864606e-05,0.0344826335558119,7336.98951661823,20.1013411414198,4.61437969786766e-05,0.016842485897217,3583.63412880463,9.81817569535515,2.04736009673666,"Above"
3,0.56,10000,15.6,95,110.6,0.00094593674774527,0.345266912927024,732.762716124654,2.00756908527302,0.000177599414149365,0.0648237861645181,137.576037091732,0.376920649566389,5.32623799620036,"Above"
3,0.56,10000,156,95,251,0.00958238087517674,3.49756901943951,72.3355906626036,0.198179700445489,0.00176923005027135,0.645768968349041,13.3555848354906,0.0365906433849058,5.4161305216962,"Above"
3,0.56,10000,1555,95,1650,0.110647063753871,40.3861782701629,6.26448779609568,0.0171629802632758,0.0238745753335043,8.71421999672906,1.35170316083939,0.00370329633106682,4.63451442416213,"Above"
3,0.56,1e+05,1.56,95,96.56,9.30162338428157e-06,0.00339509253526277,74518.9470615706,204.161498798824,4.53262156046841e-06,0.00165440686957097,36312.6061076023,99.4865920756227,2.05215089329459,"Above"
3,0.56,1e+05,15.6,95,110.6,9.3027916134452e-05,0.033955189389075,7450.95890956161,20.4135860535935,1.71688118790948e-05,0.00626661633586962,1375.11531110986,3.76743920852017,5.41842480362459,"Above"
3,0.56,1e+05,156,95,251,0.000931449546569352,0.339979084497813,744.159662874812,2.03879359691729,0.000166901953124478,0.0609192128904345,133.342381911838,0.365321594279009,5.58081873298788,"Above"
3,0.56,1e+05,1555,95,1650,0.00940306934403766,3.43212031057375,73.7149919030916,0.201958881926278,0.00170595320001844,0.622672918006729,13.3737529444203,0.0366404190258091,5.51191518262989,"Above"
3,0.76,3700,1.56,95,96.56,0.000191442524645848,0.0698765214957344,3620.65419813184,9.91960054282695,9.0767865581328e-05,0.0331302709371847,1716.64604914951,4.70313986068358,2.10914428162151,"Above"
3,0.76,3700,15.6,95,110.6,0.00191939109989466,0.700577751461553,361.128683256885,0.98939365275859,0.000281396052788473,0.102709559267793,52.9439706283743,0.145051974324313,6.82095957236999,"Above"
3,0.76,3700,156,95,251,0.0197101744089408,7.1942136592634,35.1669734716058,0.0963478725249474,0.00282421296714811,1.03083773300906,5.03897228067196,0.0138054035086903,6.97899720673125,"Above"
3,0.76,3700,1555,95,1650,0.283128557338164,103.34192342843,2.44817120207363,0.00670731836184557,0.0620140662417659,22.6351341782446,0.536226555611081,0.00146911385098926,4.56555382506879,"Above"
3,0.76,10000,1.56,95,96.56,6.92943439655115e-05,0.0252924355474117,10002.940224168,27.4053156826519,3.27460538064508e-05,0.0119523096393546,4727.03542682132,12.9507819912913,2.11611281087741,"Above"
3,0.76,10000,15.6,95,110.6,0.000693592524699258,0.253161271515229,999.357916754501,2.73796689521781,9.79622303821225e-05,0.0357562140894747,141.148191465517,0.386707373878129,7.08020348244168,"Above"
3,0.76,10000,156,95,251,0.00700173851289703,2.55563455720742,98.9964391391059,0.271223120929057,0.000946062011972002,0.345312634369781,13.3762165235809,0.036647168557756,7.40092977446836,"Above"
3,0.76,10000,1555,95,1650,0.0773927485092956,28.2483532058929,8.95622902547118,0.0245376137684142,0.0116411036994013,4.24900285028147,1.34715968678351,0.00369084845694113,6.64823117358503,"Above"
3,0.76,1e+05,1.56,95,96.56,6.85073899733758e-06,0.00250051973402822,101178.454007564,277.20124385634,3.23377143902063e-06,0.00118032657524253,47759.5183440909,130.847995463263,2.11849820759514,"Above"
3,0.76,1e+05,15.6,95,110.6,6.85137267028118e-05,0.0250075102465263,10116.9096167629,27.7175605938711,9.54667505301294e-06,0.00348453639434972,1409.68610671084,3.86215371701601,7.17671087811759,"Above"
3,0.76,1e+05,156,95,251,0.000685771800823396,0.250306707300539,1010.754860039,2.76919139736713,9.04950766581638e-05,0.0330307029802298,133.380139620813,0.365425040057023,7.57800121451723,"Above"
3,0.76,1e+05,1555,95,1650,0.00689962849283813,2.51836439988592,100.461522135494,0.27523704694656,0.000918486669797943,0.335247634476249,13.373556127673,0.0366398798018438,7.5119527802793,"Above"
4,0.56,3700,1.56,95,96.56,0.000197346459529671,0.07203145772833,3512.33653855204,9.62283983164943,9.6943848398195e-05,0.0353845046653412,1725.38905297987,4.72709329583527,2.03567800113602,"Above"
4,0.56,3700,15.6,95,110.6,0.00198051005309923,0.722886169381217,349.984176790855,0.95886075833111,0.000386925507913255,0.141227810388338,68.3752173610499,0.187329362633013,5.11858229192591,"Above"
4,0.56,3700,156,95,251,0.0205486858607522,7.50027033917457,33.7319469116927,0.0924162929087471,0.00405492564157622,1.48004785917532,6.65641284310837,0.0182367475153654,5.0675863572099,"Above"
4,0.56,3700,1555,95,1650,0.386082627283651,140.920158958533,1.79533377462928,0.00491872267021719,0.174370007189292,63.6450526240917,0.810842915652067,0.00222148744014265,2.21415731700078,"Above"
4,0.56,10000,1.56,95,96.56,7.0854726484545e-05,0.0258619751668589,9782.65268882431,26.8017881885597,3.46078477340075e-05,0.0126318644229127,4778.17883840617,13.0909009271402,2.04736009673666,"Above"
4,0.56,10000,15.6,95,110.6,0.000709452560808953,0.258950184695268,977.016954832871,2.67675878036403,0.000133199560612024,0.0486178396233886,183.434716122309,0.502560866088519,5.32623799620036,"Above"
4,0.56,10000,156,95,251,0.00718678565638255,2.62317676457963,96.4474542168047,0.264239600593986,0.00132692253770351,0.484326726261781,17.8074464473208,0.0487875245132077,5.4161305216962,"Above"
4,0.56,10000,1555,95,1650,0.0829852978154032,30.2896337026222,8.35265039479424,0.0228839736843678,0.0179059315001282,6.53566499754679,1.80227088111918,0.00493772844142242,4.63451442416213,"Above"
4,0.56,1e+05,1.56,95,96.56,6.97621753821118e-06,0.00254631940144708,99358.5960820941,272.215331731765,3.39946617035131e-06,0.00124080515217823,48416.8081434697,132.648789434164,2.05215089329459,"Above"
4,0.56,1e+05,15.6,95,110.6,6.9770937100839e-05,0.0254663920418062,9934.61187941548,27.2181147381246,1.28766089093211e-05,0.00469996225190221,1833.48708147981,5.02325227802689,5.41842480362459,"Above"
4,0.56,1e+05,156,95,251,0.000698587159927014,0.25498431337336,992.212883833082,2.71839146255639,0.000125176464843359,0.0456894096678259,177.789842549118,0.487095459038679,5.58081873298788,"Above"
4,0.56,1e+05,1555,95,1650,0.00705230200802824,2.57409023293031,98.2866558707888,0.269278509235038,0.00127946490001383,0.467004688505047,17.8316705925604,0.0488538920344122,5.51191518262989,"Above"
4,0.76,3700,1.56,95,96.56,0.000143581893484386,0.0524073911218008,4827.53893084245,13.2261340571026,6.8075899185996e-05,0.0248477032028885,2288.86139886601,6.2708531475781,2.10914428162151,"Above"
4,0.76,3700,15.6,95,110.6,0.001439543324921,0.525433313596164,481.504911009181,1.31919153701145,0.000211047039591354,0.0770321694508444,70.5919608378324,0.193402632432417,6.82095957237,"Above"
4,0.76,3700,156,95,251,0.0147826308067056,5.39566024444755,46.8892979621411,0.128463830033263,0.00211815972536108,0.773128299756795,6.71862970756261,0.0184072046782537,6.97899720673125,"Above"
4,0.76,3700,1555,95,1650,0.212346418003623,77.5064425713223,3.26422826943151,0.00894309114912742,0.0465105496813245,16.9763506336834,0.714968740814774,0.00195881846798568,4.56555382506879,"Above"
4,0.76,10000,1.56,95,96.56,5.19707579741337e-05,0.0189693266605588,13337.2536322239,36.5404209102026,2.45595403548381e-05,0.00896423222951592,6302.71390242842,17.2677093217217,2.11611281087741,"Above"
4,0.76,10000,15.6,95,110.6,0.000520194393524444,0.189870953636422,1332.47722233933,3.65062252695708,7.34716727865919e-05,0.026817160567106,188.19758862069,0.515609831837506,7.08020348244168,"Above"
4,0.76,10000,156,95,251,0.00525130388467278,1.91672591790556,131.995252185475,0.36163082790541,0.000709546508979001,0.258984475777336,17.8349553647746,0.0488628914103413,7.40092977446836,"Above"
4,0.76,10000,1555,95,1650,0.0580445613819717,21.1862649044197,11.9416387006282,0.0327168183578856,0.00873082777455097,3.1867521377111,1.79621291571135,0.0049211312759215,6.64823117358503,"Above"
4,0.76,1e+05,1.56,95,96.56,5.13805424800319e-06,0.00187538980052116,134904.605343419,369.601658475119,2.42532857926547e-06,0.000885244931431898,63679.3577921211,174.463993951017,2.11849820759514,"Above"
4,0.76,1e+05,15.6,95,110.6,5.13852950271089e-05,0.0187556326848947,13489.2128223506,36.9567474584948,7.1600062897597e-06,0.00261340229576229,1879.58147561446,5.14953828935468,7.1767108781176,"Above"
4,0.76,1e+05,156,95,251,0.000514328850617547,0.187730030475405,1347.67314671867,3.6922551964895,6.78713074936228e-05,0.0247730272351723,177.840186161084,0.487233386742697,7.57800121451724,"Above"
4,0.76,1e+05,1555,95,1650,0.0051747213696286,1.88877329991444,133.948696180659,0.36698272926208,0.000688865002348457,0.251435725857187,17.8314081702306,0.048853173069125,7.5119527802793,"Above"
5,0.56,3700,1.56,95,96.56,0.000157877167623737,0.057625166182664,4390.42067319005,12.0285497895618,7.7555078718556e-05,0.028307603732273,2156.73631622484,5.90886661979409,2.03567800113602,"Above"
5,0.56,3700,15.6,95,110.6,0.00158440804247938,0.578308935504974,437.480220988569,1.19857594791389,0.000309540406330604,0.11298224831067,85.4690217013124,0.234161703291267,5.11858229192591,"Above"
5,0.56,3700,156,95,251,0.0164389486886018,6.00021627133966,42.1649336396159,0.115520366135934,0.00324394051326098,1.18403828734026,8.32051605388546,0.0227959343942067,5.0675863572099,"Above"
5,0.56,3700,1555,95,1650,0.308866101826921,112.736127166826,2.24416721828659,0.00614840333777149,0.139496005751434,50.9160420992734,1.01355364456508,0.00277685930017831,2.21415731700079,"Above"
5,0.56,10000,1.56,95,96.56,5.6683781187636e-05,0.0206895801334872,12228.3158610304,33.5022352356997,2.7686278187206e-05,0.0101054915383302,5972.72354800771,16.3636261589252,2.04736009673666,"Above"
5,0.56,10000,15.6,95,110.6,0.000567562048647162,0.207160147756214,1221.27119354109,3.34594847545504,0.000106559648489619,0.0388942716987109,229.293395152887,0.628201082610649,5.32623799620036,"Above"
5,0.56,10000,156,95,251,0.00574942852510604,2.09854141166371,120.559317771006,0.330299500742482,0.00106153803016281,0.387461381009425,22.259308059151,0.0609844056415096,5.4161305216962,"Above"
5,0.56,10000,1555,95,1650,0.0663882382523225,24.2317069620977,10.4408129934928,0.0286049671054597,0.0143247452001026,5.22853199803744,2.25283860139898,0.00617216055177803,4.63451442416213,"Above"
5,0.56,1e+05,1.56,95,96.56,5.58097403056894e-06,0.00203705552115766,124198.245102618,340.269164664706,2.71957293628105e-06,0.000992644121742582,60521.0101793371,165.810986792704,2.05215089329459,"Above"
5,0.56,1e+05,15.6,95,110.6,5.58167496806712e-05,0.020373113633445,12418.2648492693,34.0226434226558,1.03012871274569e-05,0.00375996980152177,2291.85885184977,6.27906534753361,5.41842480362459,"Above"
5,0.56,1e+05,156,95,251,0.000558869727941611,0.203987450698688,1240.26610479135,3.39798932819549,0.000100141171874687,0.0365515277342607,222.237303186397,0.608869323798349,5.58081873298788,"Above"
5,0.56,1e+05,1555,95,1650,0.0056418416064226,2.05927218634425,122.858319838486,0.336598136543797,0.00102357192001106,0.373603750804037,22.2895882407006,0.0610673650430152,5.51191518262989,"Above"
5,0.76,3700,1.56,95,96.56,0.000114865514787509,0.0419259128974406,6034.42366355306,16.5326675713782,5.44607193487968e-05,0.0198781625623108,2861.07674858251,7.83856643447263,2.10914428162151,"Above"
5,0.76,3700,15.6,95,110.6,0.0011516346599368,0.420346650876932,601.881138761476,1.64898942126432,0.000168837631673084,0.0616257355606755,88.2399510472904,0.241753290540522,6.82095957237,"Above"
5,0.76,3700,156,95,251,0.0118261046453645,4.31652819555804,58.6116224526763,0.160579787541579,0.00169452778028887,0.618502639805436,8.39828713445327,0.0230090058478172,6.97899720673125,"Above"
5,0.76,3700,1555,95,1650,0.169877134402898,62.0051540570579,4.08028533678939,0.0111788639364093,0.0372084397450596,13.5810805069467,0.893710926018468,0.0024485230849821,4.56555382506879,"Above"
5,0.76,10000,1.56,95,96.56,4.15766063793069e-05,0.015175461328447,16671.5670402799,45.6755261377532,1.96476322838705e-05,0.00717138578361273,7878.39237803553,21.5846366521521,2.11611281087741,"Above"
5,0.76,10000,15.6,95,110.6,0.000416155514819555,0.151896762909138,1665.59652792417,4.56327815869635,5.87773382292735e-05,0.0214537284536848,235.246985775862,0.644512289796882,7.08020348244168,"Above"
5,0.76,10000,156,95,251,0.00420104310773822,1.53338073432445,164.994065231843,0.452038534881762,0.000567637207183201,0.207187580621868,22.2936942059682,0.0610786142629267,7.40092977446836,"Above"
5,0.76,10000,1555,95,1650,0.0464356491055774,16.9490119235357,14.9270483757853,0.040896022947357,0.00698466221964077,2.54940171016888,2.24526614463919,0.00615141409490188,6.64823117358503,"Above"
5,0.76,1e+05,1.56,95,96.56,4.11044339840255e-06,0.00150031184041693,168630.756679273,462.002073093899,1.94026286341238e-06,0.000708195945145519,79599.1972401514,218.079992438771,2.11849820759515,"Above"
5,0.76,1e+05,15.6,95,110.6,4.11082360216871e-05,0.0150045061479158,16861.5160279382,46.1959343231185,5.72800503180776e-06,0.00209072183660983,2349.47684451807,6.43692286169335,7.17671087811759,"Above"
5,0.76,1e+05,156,95,251,0.000411463080494037,0.150184024380324,1684.59143339834,4.61531899561188,5.42970459948983e-05,0.0198184217881379,222.300232701355,0.609041733428371,7.57800121451724,"Above"
5,0.76,1e+05,1555,95,1650,0.00413977709570288,1.51101863993155,167.435870225824,0.458728411577599,0.000551092001878766,0.20114858068575,22.2892602127883,0.0610664663364063,7.5119527802793,"Above"
6,0.56,3700,1.56,95,96.56,0.000131564306353114,0.0480209718188866,5268.50480782806,14.4342597474741,6.46292322654634e-05,0.0235896697768941,2588.08357946981,7.0906399437529,2.03567800113602,"Above"
6,0.56,3700,15.6,95,110.6,0.00132034003539948,0.481924112920811,524.976265186283,1.43829113749667,0.000257950338608837,0.0941518735922253,102.562826041575,0.28099404394952,5.11858229192591,"Above"
6,0.56,3700,156,95,251,0.0136991239071682,5.00018022611638,50.5979203675391,0.138624439363121,0.00270328376105081,0.986698572783547,9.98461926466255,0.0273551212730481,5.0675863572099,"Above"
6,0.56,3700,1555,95,1650,0.257388418189101,93.9467726390218,2.69300066194391,0.00737808400532579,0.116246671459528,42.4300350827278,1.2162643734781,0.00333223116021398,2.21415731700079,"Above"
6,0.56,10000,1.56,95,96.56,4.723648432303e-05,0.017241316777906,14673.9790332365,40.2026822828396,2.30718984893383e-05,0.00842124294860849,7167.26825760926,19.6363513907103,2.04736009673666,"Above"
6,0.56,10000,15.6,95,110.6,0.000472968373872635,0.172633456463512,1465.52543224931,4.01513817054605,8.87997070746823e-05,0.0324118930822591,275.152074183464,0.753841299132779,5.32623799620036,"Above"
6,0.56,10000,156,95,251,0.00479119043758837,1.74878450971975,144.671181325207,0.396359400890978,0.000884615025135673,0.322884484174521,26.7111696709812,0.0731812867698116,5.4161305216962,"Above"
6,0.56,10000,1555,95,1650,0.0553235318769355,20.1930891350814,12.5289755921914,0.0343259605265517,0.0119372876667521,4.35710999836453,2.70340632167877,0.00740659266213363,4.63451442416213,"Above"
6,0.56,1e+05,1.56,95,96.56,4.65081169214078e-06,0.00169754626763139,149037.894123141,408.322997597647,2.26631078023421e-06,0.000827203434785485,72625.2122152046,198.973184151245,2.05215089329459,"Above"
6,0.56,1e+05,15.6,95,110.6,4.6513958067226e-05,0.0169775946945375,14901.9178191232,40.8271721071869,8.58440593954742e-06,0.00313330816793481,2750.23062221972,7.53487841704033,5.41842480362459,"Above"
6,0.56,1e+05,156,95,251,0.000465724773284676,0.169989542248907,1488.31932574962,4.07758719383459,8.34509765622391e-05,0.0304596064452173,266.684763823677,0.730643188558019,5.58081873298788,"Above"
6,0.56,1e+05,1555,95,1650,0.00470153467201883,1.71606015528687,147.429983806183,0.403917763852557,0.000852976600009218,0.311336459003365,26.7475058888407,0.0732808380516183,5.51191518262989,"Above"
6,0.76,3700,1.56,95,96.56,9.57212623229238e-05,0.0349382607478672,7241.30839626367,19.8392010856539,4.5383932790664e-05,0.0165651354685924,3433.29209829901,9.40627972136716,2.10914428162151,"Above"
6,0.76,3700,15.6,95,110.6,0.000959695549947332,0.350288875730776,722.257366513771,1.97878730551718,0.000140698026394236,0.0513547796338963,105.887941256749,0.290103948648626,6.82095957236999,"Above"
6,0.76,3700,156,95,251,0.00985508720447041,3.5971068296317,70.3339469432116,0.192695745049895,0.00141210648357405,0.51541886650453,10.0779445613439,0.0276108070173806,6.97899720673125,"Above"
6,0.76,3700,1555,95,1650,0.141564278669082,51.6709617142149,4.89634240414726,0.0134146367236911,0.031007033120883,11.3175670891223,1.07245311122216,0.00293822770197853,4.56555382506879,"Above"
6,0.76,10000,1.56,95,96.56,3.46471719827558e-05,0.0126462177737059,20005.8804483359,54.8106313653038,1.63730269032254e-05,0.00597615481967728,9454.07085364264,25.9015639825826,2.11611281087741,"Above"
6,0.76,10000,15.6,95,110.6,0.000346796262349629,0.126580635757615,1998.715833509,5.47593379043562,4.89811151910613e-05,0.0178781070447374,282.296382931034,0.773414747756259,7.08020348244168,"Above"
6,0.76,10000,156,95,251,0.00350086925644852,1.27781727860371,197.992878278212,0.542446241858115,0.000473031005986001,0.17265631718489,26.7524330471619,0.073294337115512,7.40092977446836,"Above"
